date,product,region,channel,revenue,units,cost,profit
2023-01-03,Enterprise Suite,East,Offline,27.18,1,13.18,14.0
2023-01-03,Enterprise Suite,West,Online,57.55,4,29.05,28.5
2023-01-03,Enterprise Suite,West,Offline,44.75,2,17.17,27.58
2023-01-03,Growth Pack,North,Online,44.81,3,20.07,24.74
2023-01-03,Growth Pack,North,Offline,32.89,1,13.54,19.35
2023-01-03,Growth Pack,South,Online,37.99,3,17.47,20.52
2023-01-03,Growth Pack,South,Offline,27.5,2,10.59,16.91
2023-01-03,Growth Pack,East,Online,39.63,2,18.52,21.11
2023-01-03,Growth Pack,East,Offline,21.91,1,9.73,12.18
2023-01-03,Growth Pack,West,Online,42.25,4,16.04,26.21
2023-01-03,Growth Pack,West,Offline,26.32,1,10.58,15.74
2023-01-03,Starter Plan,North,Online,29.75,2,15.36,14.39
2023-01-03,Starter Plan,North,Offline,28.97,2,12.38,16.59
2023-01-03,Starter Plan,South,Online,31.12,2,16.06,15.06
2023-01-03,Starter Plan,South,Offline,11.42,1,4.6,6.82
2023-01-03,Starter Plan,East,Online,20.68,1,7.84,12.84
2023-01-03,Starter Plan,East,Offline,11.72,1,4.53,7.19
2023-01-03,Starter Plan,West,Online,36.08,2,13.92,22.16
2023-01-03,Starter Plan,West,Offline,22.21,1,9.13,13.08
2023-01-03,Add-ons,North,Online,20.51,1,7.46,13.05
2023-01-03,Add-ons,North,Offline,12.72,1,4.7,8.02
2023-01-03,Add-ons,South,Online,20.3,1,8.75,11.55
2023-01-03,Add-ons,South,Offline,13.49,1,6.98,6.51
2023-01-03,Add-ons,East,Online,14.47,1,5.68,8.79
2023-01-03,Add-ons,East,Offline,22.91,1,10.6,12.31
2023-01-03,Add-ons,West,Online,21.67,2,9.26,12.41
2023-01-03,Add-ons,West,Offline,14.25,1,7.27,6.98
2023-01-04,Enterprise Suite,North,Online,86.84,4,32.81,54.03
2023-01-04,Enterprise Suite,North,Offline,60.08,3,32.22,27.86
2023-01-04,Enterprise Suite,South,Online,72.9,4,34.67,38.23
2023-01-04,Enterprise Suite,South,Offline,47.9,4,21.87,26.03
2023-01-04,Enterprise Suite,East,Online,71.58,4,31.73,39.85
2023-01-04,Enterprise Suite,East,Offline,45.57,3,18.59,26.98
2023-01-04,Enterprise Suite,West,Online,80.33,5,34.95,45.38
2023-01-04,Enterprise Suite,West,Offline,60.82,4,25.91,34.91
2023-01-04,Growth Pack,North,Online,59.9,4,28.96,30.94
2023-01-04,Growth Pack,North,Offline,38.81,2,20.37,18.44
2023-01-04,Growth Pack,South,Online,60.6,4,27.66,32.94
2023-01-04,Growth Pack,South,Offline,42.26,2,21.33,20.93
2023-01-04,Growth Pack,East,Online,49.46,3,20.37,29.09
2023-01-04,Growth Pack,East,Offline,37.32,3,18.1,19.22
2023-01-04,Growth Pack,West,Online,57.69,3,21.76,35.93
2023-01-04,Growth Pack,West,Offline,45.86,4,24.24,21.62
2023-01-04,Starter Plan,North,Online,39.54,2,19.93,19.61
2023-01-04,Starter Plan,North,Offline,32.35,1,16.28,16.07
2023-01-04,Starter Plan,South,Online,30.57,2,14.25,16.32
2023-01-04,Starter Plan,South,Offline,20.03,1,7.83,12.2
2023-01-04,Starter Plan,East,Online,37.7,2,16.73,20.97
2023-01-04,Starter Plan,East,Offline,22.86,1,11.52,11.34
2023-01-04,Starter Plan,West,Online,44.67,3,23.57,21.1
2023-01-04,Starter Plan,West,Offline,27.37,2,10.29,17.08
2023-01-04,Add-ons,North,Online,29.08,2,14.52,14.56
2023-01-04,Add-ons,North,Offline,21.44,1,11.19,10.25
2023-01-04,Add-ons,South,Online,25.02,2,10.65,14.37
2023-01-04,Add-ons,South,Offline,15.17,1,5.86,9.31
2023-01-04,Add-ons,East,Online,26.92,1,11.55,15.37
2023-01-04,Add-ons,East,Offline,21.06,1,11.13,9.93
2023-01-04,Add-ons,West,Online,27.15,1,11.61,15.54
2023-01-04,Add-ons,West,Offline,22.74,1,12.08,10.66
2023-01-05,Enterprise Suite,North,Online,91.16,5,43.27,47.89
2023-01-05,Enterprise Suite,North,Offline,49.96,3,24.16,25.8
2023-01-05,Enterprise Suite,South,Online,78.0,5,39.67,38.33
2023-01-05,Enterprise Suite,South,Offline,45.67,3,20.08,25.59
2023-01-05,Enterprise Suite,East,Online,75.34,4,37.72,37.62
2023-01-05,Enterprise Suite,East,Offline,42.35,2,21.95,20.4
2023-01-05,Enterprise Suite,West,Online,82.86,4,31.42,51.44
2023-01-05,Enterprise Suite,West,Offline,56.22,5,29.32,26.9
2023-01-05,Growth Pack,North,Online,65.68,5,25.34,40.34
2023-01-05,Growth Pack,North,Offline,42.46,3,22.25,20.21
2023-01-05,Growth Pack,South,Online,57.56,5,20.78,36.78
2023-01-05,Growth Pack,South,Offline,39.79,2,20.06,19.73
2023-01-05,Growth Pack,East,Online,46.34,2,17.16,29.18
2023-01-05,Growth Pack,East,Offline,37.56,2,18.74,18.82
2023-01-05,Growth Pack,West,Online,65.12,3,23.91,41.21
2023-01-05,Growth Pack,West,Offline,36.54,3,16.47,20.07
2023-01-05,Starter Plan,North,Online,46.89,3,24.06,22.83
2023-01-05,Starter Plan,North,Offline,24.59,1,9.71,14.88
2023-01-05,Starter Plan,South,Online,34.52,2,18.52,16.0
2023-01-05,Starter Plan,South,Offline,17.87,1,8.42,9.45
2023-01-05,Starter Plan,East,Online,36.1,2,17.61,18.49
2023-01-05,Starter Plan,East,Offline,26.25,2,10.32,15.93
2023-01-05,Starter Plan,West,Online,34.93,2,17.5,17.43
2023-01-05,Starter Plan,West,Offline,25.05,1,9.67,15.38
2023-01-05,Add-ons,North,Online,34.06,2,15.81,18.25
2023-01-05,Add-ons,North,Offline,23.18,1,12.27,10.91
2023-01-05,Add-ons,South,Online,26.52,1,11.48,15.04
2023-01-05,Add-ons,South,Offline,24.47,2,9.4,15.07
2023-01-05,Add-ons,East,Online,24.29,1,10.62,13.67
2023-01-05,Add-ons,East,Offline,16.89,1,7.33,9.56
2023-01-05,Add-ons,West,Online,23.8,2,11.09,12.71
2023-01-05,Add-ons,West,Offline,13.24,1,5.76,7.48
2023-01-06,Enterprise Suite,North,Online,80.95,6,37.48,43.47
2023-01-06,Enterprise Suite,North,Offline,49.23,3,23.46,25.77
2023-01-06,Enterprise Suite,South,Online,64.33,5,32.28,32.05
2023-01-06,Enterprise Suite,South,Offline,46.16,3,21.82,24.34
2023-01-06,Enterprise Suite,East,Online,71.15,5,35.05,36.1
2023-01-06,Enterprise Suite,East,Offline,39.9,2,17.98,21.92
2023-01-06,Enterprise Suite,West,Online,68.79,4,28.66,40.13
2023-01-06,Enterprise Suite,West,Offline,42.02,3,16.0,26.02
2023-01-06,Growth Pack,North,Online,54.81,3,20.28,34.53
2023-01-06,Growth Pack,North,Offline,32.92,2,12.88,20.04
2023-01-06,Growth Pack,South,Online,49.32,3,17.89,31.43
2023-01-06,Growth Pack,South,Offline,21.42,1,9.15,12.27
2023-01-06,Growth Pack,East,Online,46.79,3,17.85,28.94
2023-01-06,Growth Pack,East,Offline,15.78,1,8.51,7.27
2023-01-06,Growth Pack,West,Online,51.48,4,24.9,26.58
2023-01-06,Growth Pack,West,Offline,26.01,1,12.36,13.65
2023-01-06,Starter Plan,North,Online,33.45,2,15.2,18.25
2023-01-06,Starter Plan,North,Offline,24.99,2,12.76,12.23
2023-01-06,Starter Plan,South,Online,36.35,2,18.58,17.77
2023-01-06,Starter Plan,South,Offline,24.97,2,11.0,13.97
2023-01-06,Starter Plan,East,Online,26.11,2,12.95,13.16
2023-01-06,Starter Plan,East,Offline,19.43,1,7.52,11.91
2023-01-06,Starter Plan,West,Online,28.32,1,10.42,17.9
2023-01-06,Starter Plan,West,Offline,14.59,1,6.54,8.05
2023-01-06,Add-ons,North,Online,28.23,2,10.59,17.64
2023-01-06,Add-ons,North,Offline,8.27,1,3.93,4.34
2023-01-06,Add-ons,South,Online,19.67,1,9.78,9.89
2023-01-06,Add-ons,South,Offline,14.25,1,6.51,7.74
2023-01-06,Add-ons,East,Online,22.15,1,9.9,12.25
2023-01-06,Add-ons,East,Offline,13.95,1,6.29,7.66
2023-01-06,Add-ons,West,Online,21.05,1,10.8,10.25
2023-01-06,Add-ons,West,Offline,9.43,1,4.3,5.13
2023-01-07,Enterprise Suite,North,Online,46.32,3,24.32,22.0
2023-01-07,Enterprise Suite,North,Offline,33.08,2,13.93,19.15
2023-01-07,Enterprise Suite,South,Online,46.85,4,24.69,22.16
2023-01-07,Enterprise Suite,South,Offline,31.0,2,14.5,16.5
2023-01-07,Enterprise Suite,East,Online,41.15,3,20.02,21.13
2023-01-07,Enterprise Suite,East,Offline,27.99,1,13.2,14.79
2023-01-07,Enterprise Suite,West,Online,53.1,3,27.75,25.35
2023-01-07,Enterprise Suite,West,Offline,21.15,1,10.59,10.56
2023-01-07,Growth Pack,North,Online,31.23,2,15.36,15.87
2023-01-07,Growth Pack,North,Offline,18.48,1,8.83,9.65
2023-01-07,Growth Pack,South,Online,38.06,2,15.68,22.38
2023-01-07,Growth Pack,South,Offline,28.21,1,11.92,16.29
2023-01-07,Growth Pack,East,Online,22.6,2,11.3,11.3
2023-01-07,Growth Pack,East,Offline,17.21,1,7.64,9.57
2023-01-07,Growth Pack,West,Online,26.63,2,13.39,13.24
2023-01-07,Growth Pack,West,Offline,27.81,1,14.03,13.78
2023-01-07,Starter Plan,North,Online,25.55,1,9.37,16.18
2023-01-07,Starter Plan,North,Offline,8.11,1,3.08,5.03
2023-01-07,Starter Plan,South,Online,21.29,1,10.63,10.66
2023-01-07,Starter Plan,South,Offline,9.89,1,4.99,4.9
2023-01-07,Starter Plan,East,Online,20.26,1,9.56,10.7
2023-01-07,Starter Plan,East,Offline,10.75,1,4.87,5.88
2023-01-07,Starter Plan,West,Online,19.57,1,8.46,11.11
2023-01-07,Starter Plan,West,Offline,12.82,1,5.16,7.66
2023-01-07,Add-ons,North,Online,5.87,1,3.01,2.86
2023-01-07,Add-ons,North,Offline,8.84,1,3.81,5.03
2023-01-07,Add-ons,South,Online,12.84,1,5.06,7.78
2023-01-07,Add-ons,South,Offline,11.67,1,5.71,5.96
2023-01-07,Add-ons,East,Online,16.28,1,6.73,9.55
2023-01-07,Add-ons,East,Offline,7.31,1,3.39,3.92
2023-01-07,Add-ons,West,Online,8.03,1,4.21,3.82
2023-01-07,Add-ons,West,Offline,17.92,1,7.63,10.29
2023-01-08,Enterprise Suite,North,Online,33.45,2,12.15,21.3
2023-01-08,Enterprise Suite,North,Offline,21.32,1,8.99,12.33
2023-01-08,Enterprise Suite,South,Online,31.93,1,15.82,16.11
2023-01-08,Enterprise Suite,South,Offline,17.99,1,9.38,8.61
2023-01-08,Enterprise Suite,East,Online,24.28,1,12.71,11.57
2023-01-08,Enterprise Suite,East,Offline,18.48,1,8.62,9.86
2023-01-08,Enterprise Suite,West,Online,37.61,3,15.17,22.44
2023-01-08,Enterprise Suite,West,Offline,27.48,2,14.22,13.26
2023-01-08,Growth Pack,North,Online,28.92,1,14.53,14.39
2023-01-08,Growth Pack,North,Offline,17.17,1,7.65,9.52
2023-01-08,Growth Pack,South,Online,29.15,1,14.77,14.38
2023-01-08,Growth Pack,South,Offline,13.47,1,5.3,8.17
2023-01-08,Growth Pack,East,Online,25.94,2,12.39,13.55
2023-01-08,Growth Pack,East,Offline,12.98,1,5.68,7.3
2023-01-08,Growth Pack,West,Online,30.1,1,11.39,18.71
2023-01-08,Growth Pack,West,Offline,13.73,1,5.1,8.63
2023-01-08,Starter Plan,North,Online,13.81,1,5.75,8.06
2023-01-08,Starter Plan,North,Offline,10.58,1,4.54,6.04
2023-01-08,Starter Plan,South,Online,19.96,1,7.93,12.03
2023-01-08,Starter Plan,South,Offline,12.54,1,5.45,7.09
2023-01-08,Starter Plan,East,Online,14.6,1,7.52,7.08
2023-01-08,Starter Plan,East,Offline,9.57,1,4.29,5.28
2023-01-08,Starter Plan,West,Online,10.23,1,5.12,5.11
2023-01-08,Starter Plan,West,Offline,6.72,1,2.81,3.91
2023-01-08,Add-ons,North,Online,5.0,1,2.41,2.59
2023-01-08,Add-ons,North,Offline,14.3,1,7.54,6.76
2023-01-08,Add-ons,South,Online,5.83,1,2.85,2.98
2023-01-08,Add-ons,South,Offline,7.27,1,2.8,4.47
2023-01-08,Add-ons,East,Online,11.34,1,4.47,6.87
2023-01-08,Add-ons,East,Offline,10.11,1,4.77,5.34
2023-01-08,Add-ons,West,Online,16.0,1,7.46,8.54
2023-01-08,Add-ons,West,Offline,5.0,1,2.57,2.43
2023-01-09,Enterprise Suite,North,Online,54.21,4,27.06,27.15
2023-01-09,Enterprise Suite,North,Offline,26.61,2,13.98,12.63
2023-01-09,Enterprise Suite,South,Online,36.15,2,19.42,16.73
2023-01-09,Enterprise Suite,South,Offline,31.5,1,13.15,18.35
2023-01-09,Enterprise Suite,East,Online,41.18,2,16.43,24.75
2023-01-09,Enterprise Suite,East,Offline,27.95,2,10.45,17.5
2023-01-09,Enterprise Suite,West,Online,45.8,3,16.64,29.16
2023-01-09,Enterprise Suite,West,Offline,26.68,1,13.01,13.67
2023-01-09,Growth Pack,North,Online,40.64,3,21.14,19.5
2023-01-09,Growth Pack,North,Offline,27.6,2,10.65,16.95
2023-01-09,Growth Pack,South,Online,24.23,2,10.94,13.29
2023-01-09,Growth Pack,South,Offline,13.36,1,4.85,8.51
2023-01-09,Growth Pack,East,Online,35.21,2,13.48,21.73
2023-01-09,Growth Pack,East,Offline,19.08,1,8.71,10.37
2023-01-09,Growth Pack,West,Online,26.99,2,9.96,17.03
2023-01-09,Growth Pack,West,Offline,15.37,1,7.37,8.0
2023-01-09,Starter Plan,North,Online,13.84,1,6.47,7.37
2023-01-09,Starter Plan,North,Offline,18.72,1,7.59,11.13
2023-01-09,Starter Plan,South,Online,15.17,1,6.54,8.63
2023-01-09,Starter Plan,South,Offline,13.98,1,6.46,7.52
2023-01-09,Starter Plan,East,Online,17.27,1,7.52,9.75
2023-01-09,Starter Plan,East,Offline,12.64,1,6.36,6.28
2023-01-09,Starter Plan,West,Online,21.67,1,8.17,13.5
2023-01-09,Starter Plan,West,Offline,14.85,1,7.17,7.68
2023-01-09,Add-ons,North,Online,16.11,1,6.32,9.79
2023-01-09,Add-ons,North,Offline,16.0,1,8.39,7.61
2023-01-09,Add-ons,South,Online,8.01,1,3.94,4.07
2023-01-09,Add-ons,South,Offline,8.67,1,3.93,4.74
2023-01-09,Add-ons,East,Online,17.59,1,8.81,8.78
2023-01-09,Add-ons,East,Offline,14.85,1,7.76,7.09
2023-01-09,Add-ons,West,Online,11.0,1,4.16,6.84
2023-01-09,Add-ons,West,Offline,15.51,1,5.65,9.86
2023-01-10,Enterprise Suite,North,Online,77.38,5,37.88,39.5
2023-01-10,Enterprise Suite,North,Offline,44.91,3,18.75,26.16
2023-01-10,Enterprise Suite,South,Online,74.14,5,32.15,41.99
2023-01-10,Enterprise Suite,South,Offline,43.77,2,19.44,24.33
2023-01-10,Enterprise Suite,East,Online,61.1,4,26.33,34.77
2023-01-10,Enterprise Suite,East,Offline,37.55,3,18.14,19.41
2023-01-10,Enterprise Suite,West,Online,57.49,3,23.22,34.27
2023-01-10,Enterprise Suite,West,Offline,36.96,2,19.17,17.79
2023-01-10,Growth Pack,North,Online,46.32,3,18.22,28.1
2023-01-10,Growth Pack,North,Offline,30.59,2,12.44,18.15
2023-01-10,Growth Pack,South,Online,44.28,3,23.59,20.69
2023-01-10,Growth Pack,South,Offline,28.52,2,10.84,17.68
2023-01-10,Growth Pack,East,Online,40.76,3,20.28,20.48
2023-01-10,Growth Pack,East,Offline,26.65,1,14.32,12.33
2023-01-10,Growth Pack,West,Online,42.25,2,15.76,26.49
2023-01-10,Growth Pack,West,Offline,32.15,2,14.77,17.38
2023-01-10,Starter Plan,North,Online,21.16,1,9.97,11.19
2023-01-10,Starter Plan,North,Offline,18.61,1,7.55,11.06
2023-01-10,Starter Plan,South,Online,26.63,1,12.39,14.24
2023-01-10,Starter Plan,South,Offline,14.6,1,6.23,8.37
2023-01-10,Starter Plan,East,Online,28.23,1,14.09,14.14
2023-01-10,Starter Plan,East,Offline,24.33,1,9.29,15.04
2023-01-10,Starter Plan,West,Online,29.63,2,12.08,17.55
2023-01-10,Starter Plan,West,Offline,15.39,1,6.69,8.7
2023-01-10,Add-ons,North,Online,24.62,2,12.01,12.61
2023-01-10,Add-ons,North,Offline,19.61,1,8.26,11.35
2023-01-10,Add-ons,South,Online,21.68,1,8.76,12.92
2023-01-10,Add-ons,South,Offline,11.33,1,5.89,5.44
2023-01-10,Add-ons,East,Online,15.88,1,7.12,8.76
2023-01-10,Add-ons,East,Offline,11.31,1,4.96,6.35
2023-01-10,Add-ons,West,Online,21.52,1,11.44,10.08
2023-01-10,Add-ons,West,Offline,18.98,1,7.39,11.59
2023-01-11,Enterprise Suite,North,Online,92.04,7,37.33,54.71
2023-01-11,Enterprise Suite,North,Offline,62.82,5,32.98,29.84
2023-01-11,Enterprise Suite,South,Online,81.97,5,36.37,45.6
2023-01-11,Enterprise Suite,South,Offline,52.48,3,20.66,31.82
2023-01-11,Enterprise Suite,East,Online,61.11,3,30.16,30.95
2023-01-11,Enterprise Suite,East,Offline,40.96,3,21.53,19.43
2023-01-11,Enterprise Suite,West,Online,80.27,7,33.84,46.43
2023-01-11,Enterprise Suite,West,Offline,53.88,3,26.68,27.2
2023-01-11,Growth Pack,North,Online,65.69,5,34.57,31.12
2023-01-11,Growth Pack,North,Offline,37.5,2,13.52,23.98
2023-01-11,Growth Pack,South,Online,49.76,4,18.47,31.29
2023-01-11,Growth Pack,South,Offline,40.65,3,15.75,24.9
2023-01-11,Growth Pack,East,Online,52.39,3,27.55,24.84
2023-01-11,Growth Pack,East,Offline,30.28,1,13.41,16.87
2023-01-11,Growth Pack,West,Online,59.17,3,26.34,32.83
2023-01-11,Growth Pack,West,Offline,42.05,3,16.48,25.57
2023-01-11,Starter Plan,North,Online,44.77,2,16.44,28.33
2023-01-11,Starter Plan,North,Offline,21.07,1,10.43,10.64
2023-01-11,Starter Plan,South,Online,38.9,2,18.63,20.27
2023-01-11,Starter Plan,South,Offline,27.61,1,11.76,15.85
2023-01-11,Starter Plan,East,Online,40.14,3,18.51,21.63
2023-01-11,Starter Plan,East,Offline,25.91,1,13.56,12.35
2023-01-11,Starter Plan,West,Online,43.27,2,18.24,25.03
2023-01-11,Starter Plan,West,Offline,24.18,1,9.25,14.93
2023-01-11,Add-ons,North,Online,30.25,1,14.46,15.79
2023-01-11,Add-ons,North,Offline,22.19,2,9.29,12.9
2023-01-11,Add-ons,South,Online,31.44,1,16.19,15.25
2023-01-11,Add-ons,South,Offline,11.86,1,4.55,7.31
2023-01-11,Add-ons,East,Online,22.58,2,9.28,13.3
2023-01-11,Add-ons,East,Offline,17.1,1,6.78,10.32
2023-01-11,Add-ons,West,Online,30.16,1,16.03,14.13
2023-01-11,Add-ons,West,Offline,8.41,1,3.97,4.44
2023-01-12,Enterprise Suite,North,Online,97.3,5,42.03,55.27
2023-01-12,Enterprise Suite,North,Offline,58.56,5,25.3,33.26
2023-01-12,Enterprise Suite,South,Online,80.86,5,35.57,45.29
2023-01-12,Enterprise Suite,South,Offline,56.63,3,23.67,32.96
2023-01-12,Enterprise Suite,East,Online,80.98,5,38.37,42.61
2023-01-12,Enterprise Suite,East,Offline,46.9,3,24.59,22.31
2023-01-12,Enterprise Suite,West,Online,90.86,5,48.71,42.15
2023-01-12,Enterprise Suite,West,Offline,52.51,3,26.11,26.4
2023-01-12,Growth Pack,North,Online,77.04,5,31.07,45.97
2023-01-12,Growth Pack,North,Offline,44.08,3,17.91,26.17
2023-01-12,Growth Pack,South,Online,59.74,4,23.86,35.88
2023-01-12,Growth Pack,South,Offline,35.87,2,14.0,21.87
2023-01-12,Growth Pack,East,Online,54.49,4,27.44,27.05
2023-01-12,Growth Pack,East,Offline,42.33,3,21.14,21.19
2023-01-12,Growth Pack,West,Online,58.23,4,31.43,26.8
2023-01-12,Growth Pack,West,Offline,37.39,3,16.31,21.08
2023-01-12,Starter Plan,North,Online,55.49,3,29.77,25.72
2023-01-12,Starter Plan,North,Offline,29.3,2,14.72,14.58
2023-01-12,Starter Plan,South,Online,37.82,2,18.13,19.69
2023-01-12,Starter Plan,South,Offline,18.42,1,7.22,11.2
2023-01-12,Starter Plan,East,Online,34.36,2,15.47,18.89
2023-01-12,Starter Plan,East,Offline,26.88,1,14.48,12.4
2023-01-12,Starter Plan,West,Online,46.51,4,22.84,23.67
2023-01-12,Starter Plan,West,Offline,31.26,2,13.85,17.41
2023-01-12,Add-ons,North,Online,32.51,3,15.64,16.87
2023-01-12,Add-ons,North,Offline,14.67,1,7.48,7.19
2023-01-12,Add-ons,South,Online,22.46,1,9.39,13.07
2023-01-12,Add-ons,South,Offline,23.66,1,10.61,13.05
2023-01-12,Add-ons,East,Online,23.57,2,12.21,11.36
2023-01-12,Add-ons,East,Offline,21.2,1,9.67,11.53
2023-01-12,Add-ons,West,Online,24.04,2,8.66,15.38
2023-01-12,Add-ons,West,Offline,15.32,1,5.61,9.71
2023-01-13,Enterprise Suite,North,Online,75.52,4,29.47,46.05
2023-01-13,Enterprise Suite,North,Offline,49.24,2,25.02,24.22
2023-01-13,Enterprise Suite,South,Online,65.78,3,24.78,41.0
2023-01-13,Enterprise Suite,South,Offline,43.19,2,17.55,25.64
2023-01-13,Enterprise Suite,East,Online,63.64,4,31.5,32.14
2023-01-13,Enterprise Suite,East,Offline,49.34,3,19.71,29.63
2023-01-13,Enterprise Suite,West,Online,70.81,4,27.01,43.8
2023-01-13,Enterprise Suite,West,Offline,50.17,4,19.64,30.53
2023-01-13,Growth Pack,North,Online,59.42,4,31.98,27.44
2023-01-13,Growth Pack,North,Offline,37.17,2,16.38,20.79
2023-01-13,Growth Pack,South,Online,48.33,2,25.89,22.44
2023-01-13,Growth Pack,South,Offline,20.4,1,8.15,12.25
2023-01-13,Growth Pack,East,Online,43.71,3,21.52,22.19
2023-01-13,Growth Pack,East,Offline,25.33,1,12.9,12.43
2023-01-13,Growth Pack,West,Online,60.39,5,22.28,38.11
2023-01-13,Growth Pack,West,Offline,29.17,2,11.87,17.3
2023-01-13,Starter Plan,North,Online,31.15,1,15.85,15.3
2023-01-13,Starter Plan,North,Offline,19.96,1,8.16,11.8
2023-01-13,Starter Plan,South,Online,32.96,2,15.21,17.75
2023-01-13,Starter Plan,South,Offline,16.81,1,6.05,10.76
2023-01-13,Starter Plan,East,Online,23.3,1,11.1,12.2
2023-01-13,Starter Plan,East,Offline,22.08,1,9.82,12.26
2023-01-13,Starter Plan,West,Online,38.52,2,14.28,24.24
2023-01-13,Starter Plan,West,Offline,30.97,2,12.24,18.73
2023-01-13,Add-ons,North,Online,20.51,1,7.75,12.76
2023-01-13,Add-ons,North,Offline,10.25,1,4.01,6.24
2023-01-13,Add-ons,South,Online,21.07,1,8.8,12.27
2023-01-13,Add-ons,South,Offline,10.93,1,4.64,6.29
2023-01-13,Add-ons,East,Online,21.74,1,8.63,13.11
